11010110	14	21	→
11010110	15	13	↙
11010110	15	25	←
11010110	15	39	→
11010110	16	28	↑
11010110	16	40	↓
11010110	16	44	↑
11010110	17	27	↗
11010110	18	27	↖
11010110	19	27	↓
11010110	20	15	↙
11010110	20	20	↘
11010110	20	45	↖
11010110	24	21	↓
11010110	25	38	↓
11010110	26	26	↖
11010110	27	30	↙
11010110	27	40	↙
11010110	30	26	→
11010110	30	45	↖
11010110	31	10	↙
11010110	31	38	↑
11010110	31	43	↖
11010110	32	40	←
11010110	33	34	↗
11010110	33	41	→
11010110	37	25	←
11010110	39	42	↓
